state,year,month,dn,count,avg_brightness,median_frp,max_day_count,max_day_date,pct_night
Alabama,2000,11,A,56,322.98214285714283,21.5,,,0.017857142857142856
Alabama,2000,12,A,45,316.97555555555556,22.0,,,0.0
Alabama,2001,1,A,31,315.8451612903226,19.7,,,0.0967741935483871
Alabama,2001,2,A,82,314.74634146341464,17.450000000000003,,,0.012195121951219513
Alabama,2001,3,A,55,314.8709090909091,19.7,,,0.0
Alabama,2001,4,A,133,324.93157894736845,36.1,,,0.007518796992481203
Alabama,2001,5,A,74,330.9175675675676,34.15,,,0.013513513513513514
Alabama,2001,6,A,4,320.075,7.95,,,0.0
Alabama,2001,7,A,85,330.40941176470585,34.0,,,0.12941176470588237
Alabama,2001,8,A,129,336.25038759689926,42.9,,,0.015503875968992248
Alabama,2001,9,A,230,324.4391304347826,33.1,,,0.021739130434782608
Alabama,2001,10,A,639,325.25399061032863,30.1,,,0.014084507042253521
Alabama,2001,11,A,190,322.1405263157895,26.1,,,0.02631578947368421
Alabama,2001,12,A,70,313.49857142857144,16.6,,,0.02857142857142857
Alabama,2002,1,A,24,311.925,26.5,,,0.0
Alabama,2002,2,A,120,314.8225,17.6,,,0.041666666666666664
Alabama,2002,3,A,58,315.2741379310345,16.15,,,0.0
Alabama,2002,4,A,93,322.46774193548384,18.7,,,0.03225806451612903
Alabama,2002,5,A,70,324.5128571428572,29.25,,,0.08571428571428572
Alabama,2002,6,A,38,320.9263157894737,16.7,,,0.18421052631578946
Alabama,2002,7,A,92,326.33152173913044,27.9,,,0.15217391304347827
Alabama,2002,8,A,311,331.8022508038585,37.6,,,0.03215434083601286
Alabama,2002,9,A,220,330.4681818181818,36.1,,,0.04090909090909091
Alabama,2002,10,A,115,321.3304347826087,19.1,,,0.017391304347826087
Alabama,2002,11,A,92,317.8989130434783,21.5,,,0.0
Alabama,2002,12,A,171,317.5754385964912,28.3,,,0.005847953216374269
Alabama,2003,1,A,233,320.2304721030043,22.9,,,0.012875536480686695
Alabama,2003,2,A,104,316.70576923076925,22.2,,,0.0
Alabama,2003,3,A,204,319.53921568627453,18.8,,,0.0
Alabama,2003,4,A,191,325.32460732984293,22.5,,,0.015706806282722512
Alabama,2003,5,A,36,321.4583333333333,15.55,,,0.027777777777777776
Alabama,2003,6,A,44,325.175,14.15,,,0.06818181818181818
Alabama,2003,7,A,39,315.374358974359,10.4,,,0.28205128205128205
Alabama,2003,8,A,76,325.1907894736842,17.549999999999997,,,0.11842105263157894
